name	brand	sale_day	sale_price	description	weight
Холигч GORENJE B800ORAW	GORENJE	55	269,970₮	-23%	800Вт
Аяга таваг угаагч	BEKO	55	1,399,970₮	-22%	40
Зурагт LG 55UQ76003LD	LG	33	2,099,990₮	-22%	55 инч
Будаа агшаагч MOULINEX MK611832	MOULINEX	55	519,970₮	-22%	10
Зурагт SONY KD-43X75K	SONY	33	1,799,990₮	-22%	43 инч
Ус буцалгагч MOULINEX BY282130	MOULINEX	55	209,970₮	-22%	BY282130
Талх шарагч Russell	RUSSELL HOBBS	55	209,970₮	-22%	1500вт
Хутгагч BEKO HMM7420W	BEKO	55	139,970₮	-22%	Байхгүй
Ус буцалгагч Russell	RUSSELL HOBBS	55	209,970₮	-22%	28080-70
Сахлын машин PHILIPS	PHILIPS	55	289,970₮	-22%	S3133/57
Шарах шүүгээ BEKO	BEKO	55	1,949,970₮	-22%	72 л
Угаалгын машин/Хагас автомат/	HITACHI	55	1,399,970₮	-22%	Хагас автомат
Кофе чанагч MOULINEX	MOULINEX	55	179,970₮	-22%	1.42 кг
Гар Тоос сорогч PHILIPS	PHILIPS	55	719,970₮	-22%	Улаан
Индүү Russell Hobbs	RUSSELL HOBBS	55	519,970₮	-22%	4.5 Бар
Кофе чанагч Russell	RUSSELL HOBBS	55	349,970₮	-22%	LCD
Чихэвч House of	The House of Marley	55	599,970₮	-22%	04HDHOMFH051SB
Ус аппарат MORPHY	MORPHY RICHARDS	55	539,970₮	-22%	3.5
Шарах шүүгээ BEKO	BEKO	55	1,249,970₮	-22%	72 л
Шарах шүүгээ BEKO	BEKO	55	1,049,970₮	-22%	71 л
Печь SAMSUNG ME88SUT/BW	SAMSUNG	00	349,990₮	-22%	23л
Печь SAMSUNG ME88SUG/BW	SAMSUNG	00	349,990₮	-22%	LED
Тавцан плитка BEKO	BEKO	55	699,970₮	-22%	Керамик
Комбайн MORPHY R	MORPHY RICHARDS	55	349,970₮	-22%	350Вт
Плитка BEKO FSS57100GX	BEKO	55	1,289,970₮	-22%	1700вт, 1200вт. 1200вт. 1700вт
Талх баригч MORPHY	MORPHY RICHARDS	55	399,970₮	-22%	04BMMR502001
Шарагч TEFAL FZ711867	TEFAL	55	249,970₮	-22%	1400вт
Үсний машин REMINGTON	REMINGTON	55	209,970₮	-22%	04HARMHC5880
Үсний машин REMINGTON	REMINGTON	55	139,970₮	-22%	0.4
Хөргөгч HITACHI HR4N7522DSXKH	HITACHI	55	2,999,970₮	-21%	French доороо хөлдөөгчтэй
Угаалгын машин HITACHI	HITACHI	55	2,199,970₮	-21%	Бүрэн автомат
Зөөврийн компьютерийн суурь	PROMATE	55	64,970₮	-21%	0.8
Зурагт MONEL LE-32N16CMN.WAN	MONEL	33	369,990₮	-21%	32 инч
Хөргөгч HITACHI R-H350PG7	HITACHI	55	2,299,970₮	-21%	Дээрээ хөлдөөгчтэй
Агааржуулагч BEKO BBVHM120/BBVHM121	BEKO	55	1,499,970₮	-21%	BBVHM120/BBVHM121
Шарах шүүгээ BEKO	BEKO	55	989,970₮	-21%	72 л
Хөргөгч HITACHI R-VG610PG7	HITACHI	55	4,099,970₮	-21%	Дээрээ хөлдөөгчтэй
Хөргөгч SAMSUNG RB33A32N0WW/WT	SAMSUNG	22	2,199,970₮	-21%	Доороо хөлдөөгчтэй
Печь SAMSUNG MG23K3575AK	SAMSUNG	00	549,990₮	-21%	23л
Хөргөгч BEKO B3MRCNK362HW	BEKO	55	2,299,970₮	-21%	Доороо хөлдөөгчтэй
Холигч GORENJE B800RL	GORENJE	55	339,970₮	-21%	800Вт
Будаа агшаагч MOULINEX CE500E32	MOULINEX	55	579,970₮	-21%	21 төрөл
Хөргөгч BEKO B1RCNK362W	BEKO	55	2,199,970₮	-21%	Доороо хөлдөөгчтэй
Хөргөгч HITACHI R-VGX470PG9	HITACHI	55	3,399,970₮	-21%	297 л
Угаалгын машин/Хагас автомат/	HITACHI	55	1,099,970₮	-21%	Хагас автомат
Хөргөгч BEKO BCNA306E2S	BEKO	55	2,299,970₮	-21%	Доороо хөлдөөгчтэй
Ус буцалгагч Russell	RUSSELL HOBBS	55	149,970₮	-21%	22591-70
Комбайн Russell Hobbs	RUSSELL HOBBS	55	949,970₮	-21%	23480-56
Компьютерын Гар &	PROMATE	55	99,970₮	-21%	1
Ус буцалгагч Russell	RUSSELL HOBBS	55	149,970₮	-21%	04JKRH24990
Махны машин MOULINEX	MOULINEX	55	579,970₮	-21%	2000Вт
Шарах шүүгээ BEKO	BEKO	55	1,069,970₮	-21%	71 л
Тээшний жин хэмжигч	ENJOY	55	18,970₮	-21%	2.21
Хөргөгч HITACHI R-H350PG7	HITACHI	55	2,299,970₮	-21%	2Door Top Freezer
Плитка BEKO FSM67320GWS	BEKO	55	1,699,970₮	-21%	8, гэрэлтүүлэгтэй
Холигч GORENJE B1200	GORENJE	55	339,970₮	-21%	Хар
Хөргөгч HITACHI R-B410PG6	HITACHI	55	2,699,970₮	-21%	Stylish Bottom Freezer
Хөргөгч SAMSUNG RS61R5041SL	SAMSUNG	00	3,889,990₮	-21%	Side-by-Side
Угаалгын машин HITACHI	HITACHI	55	3,099,970₮	-21%	Бүрэн автомат
Сахлын машин PHILIPS	PHILIPS	55	103,970₮	-21%	0.25
Зурагт LG 50UR81006LJ	LG	33	1,999,990₮	-20%	50 инч
Хөлдөөгч ENJOY EJ200SL	ENJOY	55	699,970₮	-20%	EJ200SL
Зурагт SAMSUNG UE55CU8500UXCE	SAMSUNG	00	2,969,970₮	-20%	UE55CU8500UXCE
Хөлдөөгч BEKO B3RFNK292W	BEKO	55	1,999,970₮	-20%	Freestanding Freezer
Сахлын машин PHILIPS	PHILIPS	55	223,970₮	-20%	S3608-10
Шарах шүүгээ Hansa	Hansa	55	1,199,970₮	-20%	65 л
Аяга таваг угаагч	BEKO	55	1,599,970₮	-20%	BDIS38120A
Кофе чанагч Russell	RUSSELL HOBBS	55	519,970₮	-20%	26230-56
Залгуур Moxom USB	Moxom	00	13,199₮	-20%	0.04
Ус буцалгагч Russell	RUSSELL HOBBS	55	119,970₮	-20%	1.6
Хүнсний жин хэмжигч	TANITA	55	47,970₮	-20%	0.9
Хүнсний жин хэмжигч	TANITA	55	47,970₮	-20%	1.15
Индүү TEFAL FV6810E0	TEFAL	55	399,970₮	-20%	270 мл
Шарах шүүгээ Hansa BOEI684603	Hansa	55	1,599,970₮	-20%	62 л
Хөлдөөгч ENJOY EJ150WH	ENJOY	55	599,970₮	-20%	150 л
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	239,970₮	-20%	26140-70
Зурагт SAMSUNG UE50BU8500UXCE	SAMSUNG	00	2,489,970₮	-20%	50 инч
Залгуур Moxom	Moxom	00	15,999₮	-20%	0.05
Залгуур Moxom	Moxom	00	15,999₮	-20%	0.05
Утастай Selfie Stick	Брэнд бус	55	23,970₮	-20%	0.04
Агаар цэвэршүүлэгч Tulip40	Airfree	55	399,970₮	-20%	1.1
Агаар цэвэршүүлэгч AirFree	Airfree	55	479,970₮	-20%	2.4
Агаар цэвэршүүлэгч Airfree	Airfree	55	719,970₮	-20%	2.3
Хиншүү сорогч ENJOY	ENJOY	55	199,970₮	-20%	KY5S01IX
Утасгүй цэнэглэгч Baseus	BASEUS	55	65,970₮	-20%	0.09
Нүүрний үс авагч	PHILIPS	55	143,970₮	-20%	BRR454/00
Зурагт SAMSUNG UE55BU8500UXCE	SAMSUNG	00	2,889,970₮	-20%	55 инч
Угаалгын машин HITACHI	HITACHI	55	3,699,970₮	-20%	Бүрэн автомат
Үсний сэнс ENJOY	ENJOY	55	31,970₮	-20%	1400H2BU
Талх шарагч MORPHY	MORPHY RICHARDS	55	549,970₮	-20%	4
Уураар цэвэрлэгч MORPHY R	MORPHY RICHARDS	55	599,970₮	-20%	3
Зурагт MONEL LE-43N5BMN.EXP	MONEL	33	599,990₮	-20%	43 инч
Хөргөгч BEKO B3RCNK362HS	BEKO	55	2,399,970₮	-20%	Доороо хөлдөөгчтэй
Чихэвч PROMATE Ice	PROMATE	55	11,970₮	-20%	0.04
Талх шарагч MOULINEX	MOULINEX	55	199,970₮	-20%	850вт
Тавцан плитка SAMSUNG	SAMSUNG	22	799,970₮	-20%	Керамик
Аяга таваг угаагч	ENJOY	55	999,970₮	-20%	04DWEJY2245W
Ус буцалгагч Russell Hobbs	RUSSELL HOBBS	55	239,970₮	-20%	23210-70
Талх шарагч Russell	RUSSELL HOBBS	55	279,970₮	-20%	1300вт
Хөргөгч LG GC-B459SQUM	LG	55	2,349,970₮	-20%	Доороо хөлдөөгчтэй
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	319,970₮	-20%	108102
Ус буцалгагч Russell	RUSSELL HOBBS	55	239,970₮	-20%	1.464
Чихэвч House of Marley	The House of Marley	55	449,970₮	-20%	04HDHOMDE011SB
Адаптер ENPU D623	ENPU	55	23,970₮	-20%	0.09
Gaming CoolingStand Vertux	VERTUX	55	79,970₮	-20%	0.108
Угаалгын машин SAMSUNG	SAMSUNG	55	1,599,970₮	-20%	Бүрэн автомат
Хөргөгч LG GC-B459SQCL	LG	55	2,079,970₮	-20%	Доороо хөлдөөгчтэй
Тавцан плитка BEKO	BEKO	55	999,970₮	-20%	Керамик
Шүд буйл цэвэрлэгч	ENJOY	00	63,999₮	-20%	150 мл
Хиншүү сорогч BEKO	BEKO	55	279,970₮	-20%	механик
Үсний машин REMINGTON	REMINGTON	55	119,970₮	-20%	0.76
Сахлын машин PHILIPS	PHILIPS	55	175,970₮	-20%	0.371
Үсний сэнс PHILIPS	PHILIPS	55	63,970₮	-20%	0.377
Тавилганд суурилдаг печь	Hansa	55	1,299,970₮	-19%	AMMB25E1WH
Шарах шүүгээ Hansa	Hansa	55	1,299,970₮	-19%	77 л
Угаалгын машин BEKO	BEKO	55	1,699,970₮	-19%	Хагас автомат
Угаалгын машин BEKO	BEKO	55	1,299,970₮	-19%	Бүрэн автомат
Зурагт LG 55UQ80006LB	LG	33	2,199,990₮	-19%	55 инч
Зурагт LG 55UR78009LL	LG	33	2,099,990₮	-19%	55 инч
Зурагт LG 55UR81006LJ	LG	33	2,199,990₮	-19%	55 инч
Gaming mouse Vertux	VERTUX	55	49,970₮	-19%	0.15
Зурагт ENJOY LE-50T1OC	ENJOY	33	1,049,990₮	-19%	50 инч
Зурагт LG 55UQ81009LC	LG	33	2,199,990₮	-19%	55 инч
Агааржуулагч BEKO BBVHM180/BBVHM181	BEKO	55	2,199,970₮	-19%	BBVHM180/BBVHM181
Хулгана Gaming Vertux	VERTUX	55	49,970₮	-19%	0.2
Хөргөгч HITACHI R-VG610PG7	HITACHI	55	4,199,970₮	-19%	Дээрээ хөлдөөгчтэй
Хөргөгч HITACHI R-VG660PG	HITACHI	55	4,199,970₮	-19%	Big 2 Door
Индукцэн плитка GORENJE	GORENJE	55	1,499,970₮	-19%	Индукц
Аяга таваг угаагч	ENJOY	55	1,099,970₮	-19%	04DWEJY2260S
Индукцин плитка BEKO	BEKO	55	1,049,970₮	-19%	Индукц
Зурагт SAMSUNG UE55TU7002UXCE	SAMSUNG	33	2,199,990₮	-19%	55 инч
Ус буцалгагч Russell	RUSSELL HOBBS	55	259,970₮	-19%	1.464
Кофе чанагч Russell	RUSSELL HOBBS	55	539,970₮	-19%	LCD
Үсний сэнс PHILIPS	PHILIPS	55	129,970₮	-19%	04HAPH308/10
Угаалгын машин BEKO	BEKO	55	1,049,970₮	-19%	Бүрэн автомат
Угаалгын машин HITACHI	HITACHI	55	2,999,970₮	-19%	Бүрэн автомат
Хөргөгч LG GC-B459SLCL	LG	55	2,279,970₮	-19%	Доороо хөлдөөгчтэй
Тавцан плитка BEKO	BEKO	55	649,970₮	-19%	Керамик
Плитка BEKO FSS57100GW	BEKO	55	1,299,970₮	-19%	4, гэрэлтүүлэгтэй
Зурагт LG 43UR81006LJ	LG	33	1,649,990₮	-18%	43 инч
Зурагт Samsung UE55CU8000UXCE	SAMSUNG	00	2,689,970₮	-18%	55 инч
Хөлдөөгч MONEL FR150GL	MONEL	55	599,970₮	-18%	FR150GL
Зурагт LG 65UQ76003LD	LG	33	2,699,990₮	-18%	65 инч
Аяга таваг угаагч	BEKO	55	1,549,970₮	-18%	35.2
Хүнсний жин хэмжигч	TANITA	55	139,970₮	-18%	0.7
Угаалгын машин HITACHI	HITACHI	55	2,299,970₮	-18%	Бүрэн автомат
Аяга таваг угаагч	BEKO	55	1,799,970₮	-18%	BDFS26130WA
Холигч PHILIPS HR2041/10	PHILIPS	55	179,970₮	-18%	Цагаан
Талх шарагч Russell	RUSSELL HOBBS	55	369,970₮	-18%	1500вт
Талх шарагч Russell	RUSSELL HOBBS	55	279,970₮	-18%	1500вт
Хутгагч BEKO HMM62404W	BEKO	55	139,970₮	-18%	Байхгүй
Хиншүү сорогч ENJOY	ENJOY	55	179,970₮	-18%	KY5E01WH
Угаалгын машин HITACHI	HITACHI	55	4,499,970₮	-18%	Бүрэн автомат
Тавцан плитка BEKO	BEKO	55	1,149,970₮	-18%	Керамик
Хиншүү сорогч BEKO	BEKO	55	899,970₮	-18%	Саарал
Тоос сорогч SAMSUNG VCC8874H35/XEV	SAMSUNG	00	549,990₮	-18%	Хар
Хөргөгч BOSCH KAN92VI35	BOSCH	55	4,499,970₮	-18%	Side-by-Side
Аяга таваг угаагч	BOSCH	55	3,599,970₮	-18%	SPS4HKW45G
Угаалгын машин BOSCH	BOSCH	55	3,699,970₮	-18%	Бүрэн автомат
Хэрчигч RUSSELL HOBBS	RUSSELL HOBBS	55	269,970₮	-18%	2.21
Зурагт LG 50UP76006LC.ADKB	LG	33	1,799,990₮	-18%	50 инч
Хутгагч MOULINEX HM3108B1	MOULINEX	55	179,970₮	-18%	Байхгүй
Ус буцалгагч Russell	RUSSELL HOBBS	55	369,970₮	-18%	25860-70
Бутлагч Давс/Перец Russell	RUSSELL HOBBS	55	139,970₮	-18%	0.76
Хутгагч Russell Hobbs	RUSSELL HOBBS	55	139,970₮	-18%	Байхгүй
Холигч Russell Hobbs	RUSSELL HOBBS	55	469,970₮	-18%	800Вт
Биеийн үзүүлэлт тодорхойлогч	TANITA	55	179,970₮	-18%	1.2
Будаа агшаагч MOULINEX CE620D32	MOULINEX	55	699,970₮	-18%	22 төрөл
Ус буцалгагч Russell	RUSSELL HOBBS	55	269,970₮	-18%	1.394
Хөргөгч HITACHI 330л	HITACHI	55	2,799,970₮	-18%	Stylish Bottom Freezer
Усны аппарат ENJOY Хар	ENJOY	55	449,970₮	-18%	Хар
Шарах шүүгээ BEKO	BEKO	55	1,149,970₮	-18%	71 л
Махны машин GORENJE	GORENJE	55	369,970₮	-18%	2000Вт
Хиншүү сорогч BEKO	BEKO	55	329,970₮	-18%	Механик
Тавцан плитка BEKO	BEKO	55	699,970₮	-18%	Керамик
Агаар цэвэршүүлэгч ENJOY	ENJOY	00	329,990₮	-18%	8
Зурагт LG 55UR91006LA	LG	00	2,489,970₮	-17%	55 инч
Шарах шүүгээ HansaBOEI697688	Hansa	55	1,999,970₮	-17%	65 л
Биеийн үзүүлэлт тодорхойлогч	ENJOY	55	99,970₮	-17%	0.7
Биеийн үзүүлэлт тодорхойлогч	ENJOY	55	149,970₮	-17%	0.6
Оёдлын машин Enjoy	ENJOY	55	289,970₮	-17%	Оёдлын машин
Тавцан плитка BEKO	BEKO	55	999,970₮	-17%	Керамик
Ширээний сэнс SmartFrog	SmartFrog	00	19,999₮	-17%	0.2
Угаалгын машин HITACHI	HITACHI	55	2,399,970₮	-17%	Бүрэн автомат
Плитка Hansa FCCX68203	Hansa	55	2,399,970₮	-17%	6
Электрон сойз ENJOY	ENJOY	00	24,999₮	-17%	0.14
Хөргөгч LG GC-Q257CBFC	LG	55	5,799,970₮	-17%	Дөрвөн хаалгатай
Угаалгын машин HITACHI	HITACHI	55	3,399,970₮	-17%	Бүрэн автомат
Хиншүү сорогч BEKO	BEKO	55	999,970₮	-17%	Мэдрэгчтэй
Шарах шүүгээ BEKO	BEKO	55	1,249,970₮	-17%	71 л
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	289,970₮	-17%	1.2
Грилл RUSSELL HOBBS	RUSSELL HOBBS	55	289,970₮	-17%	1500вт
Гар Холигч GORENJE	GORENJE	55	149,970₮	-17%	Цагаан
Хөргөгч BEKO RCNK335E20VW	BEKO	55	1,949,970₮	-17%	Доороо хөлдөөгчтэй
Угаалгын машин/Хатаагч LGF2V5GG2S	LG	55	1,989,970₮	-17%	Бүрэн автомат
Тавцан плитка BEKO	BEKO	55	999,970₮	-17%	Керамик
Тавцан плитка BEKO	BEKO	55	749,970₮	-17%	Керамик
Зурагт SAMSUNG UE55AU7100UXCE	SAMSUNG	00	2,399,970₮	-17%	55 инч
Ус буцалгагч Russell	RUSSELL HOBBS	55	289,970₮	-17%	1.18
Талх шарагч MORPHY	MORPHY RICHARDS	55	389,970₮	-17%	1800вт
Хөргөгч HITACHI R-VG660PG3	HITACHI	55	4,299,970₮	-17%	Side-by-Side
Шарах шүүгээ BEKO	BEKO	55	1,199,970₮	-17%	71 л
Шарах шүүгээ BEKO	BEKO	55	999,970₮	-17%	65 л
Махны машин GORENJE	GORENJE	55	189,970₮	-17%	1500Вт
Хиншүү сорогч BEKO	BEKO	55	289,970₮	-17%	Механик
Хиншүү сорогч BEKO	BEKO	55	249,970₮	-17%	Механик
Хиншүү сорогч BEKO	BEKO	55	289,970₮	-17%	Механик
Хөлдөөгч MONEL FRML121DXINX	MONEL	55	1,499,970₮	-17%	120 л
Хатаагч BEKO DCY7402GB5	BEKO	55	1,499,970₮	-17%	16
Плитка ENJOY CK02-5050SL	ENJOY	55	999,970₮	-17%	Керамик
Плитка BEKO FSE57310GAS	BEKO	55	1,449,970₮	-17%	6, гэрэлтүүлэгтэй
Агаар цэвэршүүлэгч ENJOY	ENJOY	00	489,990₮	-17%	EJ40H65W3
Үсний индүү REMINGTON	REMINGTON	55	99,970₮	-17%	0.46
Зурагт Samsung UE85CU8000UXCE	SAMSUNG	33	8,699,990₮	-16%	85 инч
Хөлдөөгч MONEL FR250GL	MONEL	55	779,970₮	-16%	FR250GL
Угаалгын машин BEKO	BEKO	55	1,349,970₮	-16%	Бүрэн автомат
Угаалгын машин BEKO	BEKO	55	1,349,970₮	-16%	Бүрэн автомат
Шарах шүүгээ BEKO	BEKO	55	1,849,970₮	-16%	72 л
Үсний сэнс ENJOY	ENJOY	55	63,970₮	-16%	0.3
Хутгагч MOULINEX HM450B10	MOULINEX	55	209,970₮	-16%	Байхгүй
Хутгагч MOULINEX HM461110	MOULINEX	55	259,970₮	-16%	Байхгүй
Чихэвч House of Marley	House of Marley	55	299,970₮	-16%	0.25
Зурагт Samsung	SAMSUNG	33	3,599,990₮	-16%	55 инч
Зурагт SAMSUNG QE75Q70BAUXCE	SAMSUNG	33	8,199,990₮	-16%	75 инч
Уурын индүү PHILIPS	PHILIPS	55	1,349,970₮	-16%	2000вт
Угаалгын машин HITACHI	HITACHI	55	4,199,970₮	-16%	Бүрэн автомат
Талх шарагч MORPHY	MORPHY RICHARDS	55	409,970₮	-16%	4
Талх шарагч MORPHY	MORPHY RICHARDS	55	409,970₮	-16%	4
Хөргөгч BEKO RCSK270M20W	BEKO	55	1,599,970₮	-16%	Доороо хөлдөөгчтэй
Хутгагч Russell Hobbs	RUSSELL HOBBS	55	379,970₮	-16%	3.5л
Хөргөгч LG GC-B459SBUM	LG	55	2,699,970₮	-16%	Доороо хөлдөөгчтэй
Зурагт SAMSUNG UE50AU7500UXCE	SAMSUNG	33	2,099,990₮	-16%	50 инч
Талх шарагч MORPHY	MORPHY RICHARDS	55	409,970₮	-16%	1800вт
Хөргөгч beko rcsk250m00w	BEKO	55	1,349,970₮	-16%	Доороо хөлдөөгчтэй
Будаа агшаагч Russell Hobbs	RUSSELL HOBBS	55	359,970₮	-16%	Механик
Угаалгын машин/Хагас автомат/	HITACHI	55	2,099,970₮	-16%	Хагас автомат
Сэндвич хийгч MOULINEX SM159530	MOULINEX	55	209,970₮	-16%	700Вт
Шарах шүүгээ GORENJE	GORENJE	55	2,099,970₮	-16%	65 л
Тавцан плитка BEKO	BEKO	55	799,970₮	-16%	Керамик
Зурагт Samsung UE75CU7100UXCE	SAMSUNG	00	4,399,970₮	-15%	75 инч
Индукцин плитка HANSA	Hansa	55	1,449,970₮	-15%	Индукц
Угаалгын машин BEKO	BEKO	55	1,699,970₮	-15%	Бүрэн автомат
Аяга таваг угаагч	BEKO	55	1,449,970₮	-15%	33
Хутгагч Russell Hobbs	RUSSELL HOBBS	55	169,970₮	-15%	1.92
Зурагт SAMSUNG 04LDSSQE75Q80B	SAMSUNG	00	7,999,970₮	-15%	75 инч
Индүү PHILIPS HD-1172	PHILIPS	55	109,970₮	-15%	Хар
Үсний сэнс ENJOY	ENJOY	55	33,970₮	-15%	HD1400H2BL
Талх шарагч MORPHY	MORPHY RICHARDS	55	399,970₮	-15%	4
Печь LG MS2044V	LG	00	398,990₮	-15%	LED
Угаалгын машин HITACHI	HITACHI	55	3,299,970₮	-15%	Бүрэн автомат
Хутгагч RUSSELL HOBBS	RUSSELL HOBBS	55	279,970₮	-15%	Байхгүй
Грилл RUSSELL HOBBS	RUSSELL HOBBS	55	229,970₮	-15%	1800ВТ
Будаа агшаагч RUSSELL HOBBS	RUSSELL HOBBS	55	109,970₮	-15%	1.34
Хөргөгч HITACHI R-V540PG7	HITACHI	55	3,299,970₮	-15%	Дээрээ хөлдөөгчтэй
Зурагт LG 55UP76006LC.ADKB	LG	33	2,199,990₮	-15%	55 инч
Плитка ENJOY CK02-5060WH	ENJOY	55	1,099,970₮	-15%	Керамик
Биеийн үс авагч	ROWENTA	55	203,970₮	-15%	0.45
Хөргөгч BEKO RCSK310M20S	BEKO	55	1,699,970₮	-15%	Доороо хөлдөөгчтэй
Шарах шүүгээ BEKO	BEKO	55	1,099,970₮	-15%	71 л
Талх шарагч Russell	RUSSELL HOBBS	55	329,970₮	-15%	1420вт
Ус буцалгагч Russell	RUSSELL HOBBS	55	329,970₮	-15%	25240-70
Талх шарагч MORPHY	MORPHY RICHARDS	55	279,970₮	-15%	1800вт
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	459,970₮	-15%	43970EE
Зурагт SAMSUNG UE85AU7100UXCE	SAMSUNG	00	7,359,970₮	-15%	85 инч
Биеийн үзүүлэлт тодорхойлогч	TANITA	55	186,970₮	-15%	1.2
Биеийн үзүүлэлт тодорхойлогч	TANITA	55	186,970₮	-15%	1.2
Чихэвч House of	The House of Marley	55	110,970₮	-15%	04HDHOMJE093BA
Зурагт MONEL LE-32N14AMN.UNI	MONEL	33	399,990₮	-15%	32 инч
Угаалгын машин SAMSUNG	SAMSUNG	55	1,449,970₮	-15%	Бүрэн автомат
Будаа агшаагч HITACHI RZD18XFY	HITACHI	55	579,970₮	-15%	10 меню
Хөргөгч HITACHI R-S700PG2	HITACHI	55	5,499,970₮	-15%	Side-by-Side
Хөргөгч HITACHI R-M700VAGG9X	HITACHI	55	10,999,970₮	-15%	Side-by-Side
Тавцан плитка BEKO	BEKO	55	549,970₮	-15%	Керамик
Шарах шүүгээ GORENJE	GORENJE	55	2,199,970₮	-15%	71 л
Угаалгын машин/Хатаагч LG	LG	55	2,199,970₮	-15%	Бүрэн автомат
Усны аппарат ENJOY Саарал	ENJOY	55	339,970₮	-15%	Саарал
Зурагт Samsung UE65CU7100UXCE	SAMSUNG	00	2,999,970₮	-14%	65 инч
Зурагт Samsung UE50CU8500UXCE	SAMSUNG	00	2,589,970₮	-14%	50 инч
Шарах шүүгээ BEKO	BEKO	55	949,970₮	-14%	72 л
Зурагт LG 65UR91006LA	LG	33	3,199,990₮	-14%	75 инч
Зурагт LG 65QNED876RA	LG	33	5,999,990₮	-14%	55 инч
Зурагт LG 65UR81006LJ	LG	33	2,999,990₮	-14%	65 инч
Зурагт ENJOY LE-55T1OC	ENJOY	33	1,199,990₮	-14%	55 инч
Сахлын машин PHILIPS	PHILIPS	55	94,999₮	-14%	BT1233/14
Компьютерийн Гар&Хулгана Promate	PROMATE	55	75,970₮	-14%	0.84
Хөргөгч HITACHI R-WX670KSEXK	HITACHI	55	10,699,970₮	-14%	French доороо хөлдөөгчтэй
Хөргөгч BEKO B1RCNK402W	BEKO	55	2,449,970₮	-14%	Доороо хөлдөөгчтэй
Шарах шүүгээ BEKO	BEKO	55	829,970₮	-14%	71 л
Уур/цэвэрлэ MORPHY R	MORPHY RICHARDS	55	379,970₮	-14%	Цагаан
Угаалгын машин BEKO	BEKO	55	1,499,970₮	-14%	Бүрэн автомат
Хиншүү сорогч BEKO	BEKO	55	299,970₮	-14%	Цагаан
Чихэвч Mi AirDots	MI	55	154,970₮	-14%	04HDXM4420
Зурагт ENJOY LE-50S1BMN.WAN	ENJOY	33	1,199,990₮	-14%	50 инч
Хөргөгч BEKO RCNK310KC0S	BEKO	55	1,799,970₮	-14%	64
Хөргөгч BEKO RCNK310E20VS	BEKO	55	1,799,970₮	-14%	Доороо хөлдөөгчтэй
SWITCH NINTENDO Animal	NINTENDO	33	1,799,990₮	-14%	0.45
Хутгагч PHILIPS HR3745/11	PHILIPS	55	239,970₮	-14%	3л
Хөргөгч BEKO RCSK250M00S	BEKO	55	1,549,970₮	-14%	Доороо хөлдөөгчтэй
Компьютерын Гар PROMATE	PROMATE	55	88,970₮	-14%	1.26
Угаалгын машин/Хагас автомат/	MONEL	55	299,970₮	-14%	Хагас автомат
Хөргөгч HITACHI R-MX700GVG0	HITACHI	55	9,499,970₮	-14%	Side-by-Side
Биеийн жин хэмжигч	MONEL	55	29,970₮	-14%	1.3
Биеийн жин хэмжигч	MONEL	55	29,970₮	-14%	1.5
Будаа агшаагч HITACHI RZ-D10XFY	HITACHI	55	489,970₮	-14%	Механик
Печь LG MS2336GIH	LG	00	489,990₮	-14%	LED
Махны машин MOULINEX	MOULINEX	55	359,970₮	-14%	2000Вт
Плитка BEKO FSE67100GWS	BEKO	55	1,499,970₮	-14%	6, гэрэлтүүлэгтэй
Сахлын машин REMINGTON	REMINGTON	55	239,970₮	-14%	0.62
Үс ороогч PHILIPS	PHILIPS	55	119,970₮	-14%	200 мл
Плитка BEKO	BEKO	55	1,549,970₮	-14%	7, гэрэлтүүлэгтэй
Шарах шүүгээ Hansa	Hansa	55	1,299,970₮	-13%	77 л
Электрон сойзны толгой	PHILIPS	55	69,970₮	-13%	0.1
