mark	price	produced_year	imported_year	distance	motor_volume	color	type	hurd	hodolguur
Ford Transit	80.0	2014	2023	180000 км.	2.5 л	Саарал	Гэр бүлийн	Зөв	Дизель
Toyota Prius 40	28.0	2011	2024	230000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	9.2	2008	2014	185000 км.	1.5 л	Хар	Суудлын тэрэг	Зөв	Хайбрид
Toyota Prius 30	21.5	2012	2022	120000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Hyundai Grandeur	42.0	2017	2024	95000 км.	2.4 л	Хар	Суудлын тэрэг	Зөв	Бензин
Nissan NV200	14.8	2013	2024	169000 км.	1.6 л	Бусад	Гэр бүлийн	Буруу	Бензин
Nissan Pathfinder	18.0	2006	2006	120000 км.	2.5 л	Шаргал	Жийп	Зөв	Дизель
Toyota Prius 40	27.0	2012	2021	170000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	53.5	2018	2024	98000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Цахилгаан
Toyota Land Cruiser Prado	43.5	2006	2015	222222 км.	2.7 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 30	13.8	2011	2016	175000 км.	6.0 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	33.0	2014	2022	120000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Sonata	10.0	2012	2016	300000 км.	1.8 л	Саарал	Суудлын тэрэг	Зөв	Газ
Toyota Sai	25.0	2010	2024	170000 км.	2.4 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota 4Runner	125.0	2019	2023	45000 км.	4.0 л	Бор	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	148.0	2018	2018	80000 км.	4.5 л	Цагаан шар	Жийп	Зөв	Дизель
Mercedes-Benz G-Class	58.0	2003	2010	150000 км.	5.0 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 30	23.3	2010	2024	118000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	68.0	2013	2024	261000 км.	Цахилгаан	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Sai	18.5	2010	2020	219515 км.	2.4 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vellfire	82.0	2016	2024	135000 км.	2.5 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	20.5	2013	2021	125000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Subaru Forester	36.0	2014	2023	182000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 30	19.0	2011	2021	140000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	34.5	2015	2024	134000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	12.5	2008	2018	5000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	31.0	2012	2024	120000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	21.0	2006	2023	200000 км.	1.5 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Tundra	135.0	2017	2022	66000 км.	5.7 л	Хар	Жийп	Зөв	Бензин
Toyota Crown	56.0	2016	2024	77000 км.	2.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Ist	5.0	2004	2012	100 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	29.0	2015	2024	120000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	25.0	2013	2021	90000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	22.0	2013	2022	180000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	98.0	2014	2024	82000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Land Cruiser Prado	149.8	2023	2024	38 км.	2.7 л	Цагаан шар	Жийп	Буруу	Бензин
Toyota Prius 40	29.9	2013	2024	169721 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	32.5	2015	2023	280000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	26.3	2012	2023	179000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	85.0	2020	2023	108000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	73.0	2007	2024	122000 км.	4.0 л	Саарал	Жийп	Буруу	Бензин
Lexus RX	75.0	2013	2023	55000 км.	4.5 л	Хар	Жийп	Буруу	Хайбрид
BMW X5	83.0	2016	2022	110000 км.	3.0 л	Хар	Жийп	Буруу	Дизель
Toyota Prius 40	24.0	2012	2021	180000 км.	1.7 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	13.0	2012	2021	200000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 300	190.0	2023	2024	10000 км.	3.3 л	Саарал	Жийп	Буруу	Дизель
Nissan Tiida	9.5	2011	2021	150 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus RX	44.5	2010	2021	170000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Tundra	135.0	2017	2018	128000 км.	5.7 л	Саарал	Жийп	Зөв	Бензин
Toyota Land Cruiser 300	225.0	2023	2024	15 км.	4.0 л	Шаргал	Жийп	Зөв	Бензин
Mercedes-Benz E-Class	38.0	2011	2019	80000 км.	3.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
