mark	price	produced_year	imported_year	distance	motor_volume	color	type	hurd	hodolguur
Toyota Prius 30	24.5	2015	2024	163000 км.	2.4 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	16.0	2010	2016	1 км.	2.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Allex	16.8	2003	2023	89000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	65.0	2014	2024	87000 км.	2.5 л	Бусад	Жийп	Буруу	Хайбрид
Toyota Prius 30	17.0	2009	2019	100000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Kluger	53.0	2015	2019	126000 км.	3.5 л	Хар	Жийп	Буруу	Бензин
Mercedes-Benz E-Class	35.0	2012	2020	170000 км.	3.5 л	Хар	Суудлын тэрэг	Зөв	Бензин
Lexus GS	45.0	2012	2023	147000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	16.0	2016	2022	180000 км.	1.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vellfire	27.0	2009	2018	134000 км.	2.5 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Tacoma	60.0	2005	2024	1300000 км.	4.0 л	Саарал	Жийп	Зөв	Бензин
Toyota Prius 20	16.0	2006	2020	142000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	26.0	2011	2021	210000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	21.5	2004	2022	145000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Цахилгаан
Toyota Land Cruiser 200	205.0	2016	2017	51000 км.	4.6 л	Шаргал	Жийп	Зөв	Бензин
Nissan Patrol	125.0	2016	2016	100000 км.	5.5 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 40	27.0	2012	2024	164000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Mercedes-Benz S-Class	50.0	2008	2024	168000 км.	3.5 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Harrier	35.9	2005	2021	185000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Audi A6	17.8	2007	2015	124000 км.	2.4 л	Хар	Суудлын тэрэг	Зөв	Бензин
Nissan NV200	15.0	2012	2024	196 км.	1.6 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	37.0	2005	2023	180000 км.	3.3 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	35.0	2011	2020	180000 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Бензин
Toyota Prius 20	12.0	2004	2015	150000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Mercedes-Benz G-Class	600.0	2023	2023	4000 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 30	15.0	2010	2019	249000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	9.6	2007	2015	245789 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus RX	88.0	2016	2019	60000 км.	3.5 л	Хар	Жийп	Зөв	Бензин
Toyota Sai	17.5	2010	2019	23000 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Бензин
Mercedes-Benz S-Class	110.0	2014	2017	100 км.	3.5 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Aqua	17.0	2014	2024	144571 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Estima	16.5	2007	2014	166000 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Бензин
Toyota Crown	60.0	2017	2024	161000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	109.0	2017	2024	165000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Nissan Cube	7.0	2012	2018	189000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Vellfire	53.0	2014	2024	180000 км.	2.5 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Mercedes-Benz GLA-Class	65.0	2016	2023	100 км.	1.9 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Camry	24.8	2012	2020	150000 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	16.5	2012	2021	223000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	56.5	2014	2024	130000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Mazda Bongo	14.8	2007	2023	207000 км.	2.0 л	Саарал	Гэр бүлийн	Буруу	Дизель
Toyota Tacoma	45.0	2006	2014	156000 км.	4.0 л	Саарал	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	98.0	2013	2014	193000 км.	4.5 л	Хар	Жийп	Зөв	Дизель
Toyota Prius 20	24.5	2007	2024	40000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	11.5	2007	2016	260000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	36.0	2014	2023	87000 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	52.0	2015	2021	196000 км.	2.5 л	Бусад	Жийп	Буруу	Хайбрид
Toyota Alphard	38.0	2013	2022	130000 км.	2.4 л	Цагаан шар	Гэр бүлийн	Буруу	Бензин
Lexus IS	47.8	2014	2024	143000 км.	2.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	39.0	2018	2024	130000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	49.8	2017	2024	123000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Honda Insight	6.9	2009	2019	230000 км.	1.3 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	12.0	2008	2015	200000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Juke	16.5	2010	2020	15000000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Alphard	37.0	2011	2021	160000 км.	3.5 л	Хар	Гэр бүлийн	Буруу	Бензин
Lexus RX	60.0	2013	2019	93000 км.	3.5 л	Шаргал	Гэр бүлийн	Зөв	Бензин
Toyota Crown	41.9	2014	2022	140000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	36.5	2014	2023	170000 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	26.0	2013	2023	100000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Tiida	8.0	2010	2019	62000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser Prado	129.0	2021	2024	55000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Land Cruiser 200	140.0	2014	2014	150000 км.	4.6 л	Шаргал	Жийп	Зөв	Бензин
Toyota Aqua	12.0	2013	2019	190 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Honda Crossroad	12.0	2007	2017	298000 км.	1.8 л	Хар	Жийп	Буруу	Бензин
Toyota Camry	36.6	2012	2022	134000 км.	2.4 л	Бусад	Суудлын тэрэг	Зөв	Хайбрид
Toyota Land Cruiser 300	215.0	2023	2024	1300 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	120.0	2013	2014	144000 км.	4.4 л	Шаргал	Жийп	Зөв	Дизель
Toyota Kluger	65.0	2017	2020	83160 км.	3.5 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 40	32.5	2013	2024	121000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	49.5	2013	2024	152 км.	2.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	22.0	2013	2019	18000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	41.0	2013	2023	200000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	28.9	2012	2024	159000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	87.0	2009	2011	170 км.	5.7 л	Саарал	Жийп	Зөв	Бензин
Toyota Axio	13.0	2013	2018	1 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Mercedes-Benz C-Class	65.0	2016	2022	60000 км.	2.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Nissan X-Trail	25.5	2012	2021	200000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Fielder	25.5	2018	2024	126 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 50	33.8	2016	2024	200000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	14.5	2015	2021	24000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Ractis	8.2	2010	2020	230000 км.	1.3 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	33.8	2014	2024	140000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	62.8	2013	2024	188576 км.	Цахилгаан	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus RX	67.0	2013	2021	61000 км.	4.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	62.0	2007	2012	240300 км.	4.7 л	Саарал	Жийп	Зөв	Бензин
Hyundai Sonata	12.5	2013	2020	470000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Lexus HS	31.0	2012	2023	50000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Sai	26.0	2010	2024	200000 км.	2.4 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Highlander	105.0	2017	2022	107900 км.	3.5 л	Бор	Жийп	Зөв	Хайбрид
Toyota Prius 40	31.8	2013	2024	120000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	24.0	2014	2020	300000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Tundra	75.0	2011	2020	100000 км.	5.7 л	Бор	Жийп	Зөв	Бензин
Toyota Prius 20	10.8	2006	2016	200 км.	1.6 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota RAV4	55.0	2018	2021	60000 км.	2.0 л	Хар	Жийп	Буруу	Хайбрид
Suzuki Jimny	49.0	2018	2018	23000 км.	1.5 л	Саарал	Жийп	Зөв	Бензин
Toyota Prius 40	28.6	2012	2024	133000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	13.8	2008	2019	200 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	15.2	2014	2023	166000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	28.9	2011	2024	198000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	29.0	2013	2024	115000 км.	1.7 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Toyota Crown	25.5	2009	2023	184400 км.	3.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Noah	7.5	2003	2012	10000000 км.	2.0 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Land Cruiser Prado	125.0	2021	2024	15000 км.	2.7 л	Цагаан шар	Жийп	Буруу	Бензин
Toyota Hilux	62.0	2006	2023	160 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 30	23.0	2011	2024	136000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
BMW X6	150.0	2016	2022	91000 км.	3.0 л	Хар	Жийп	Буруу	Бензин
Toyota Land Cruiser Prado	96.0	2016	2023	60000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 30	17.8	2010	2020	200000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	25.0	2010	2023	118153 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	17.0	2007	2021	0 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	20.0	2007	2022	1 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	25.5	2010	2024	222222 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	21.8	2013	2020	192 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	13.0	2004	2019	127 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Note	22.0	2014	2024	78000 км.	1.3 л	Хар	Суудлын тэрэг	Буруу	Бензин
BMW X3	55.0	2012	2022	100100 км.	3.2 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Автомашин  Бусад	21.0	2010	2019	149 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 40	29.9	2012	2024	125000 км.	1.7 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	15.7	2010	2017	1111 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	17.0	2014	2023	106000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Sai	23.5	2010	2023	107000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	93.0	2017	2024	110000 км.	3.5 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Prius 20	11.5	2008	2016	200000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	27.8	2012	2024	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	33.0	2006	2021	130000 км.	3.5 л	Хар	Жийп	Буруу	Бензин
Mazda CX	20.0	2015	2020	115000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Camry	38.0	2015	2022	46100 км.	2.4 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Toyota Aqua	13.0	2015	2020	180000 км.	Цахилгаан	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Sai	17.0	2010	2018	134613 км.	2.3 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Honda Fit	15.5	2013	2023	111111 км.	1.5 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Toyota Sai	25.9	2010	2023	109076 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Passo	21.0	2015	2024	213000 км.	1.8 л	Цагаан шар	Гэр бүлийн	Буруу	Бензин
Toyota Prius 50	27.8	2016	2024	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	23.8	2010	2023	175000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	19.0	2013	2021	200 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Tucson	19.0	2011	2011	90000 км.	2.0 л	Бусад	Жийп	Зөв	Бензин
Toyota Prius 30	17.5	2010	2021	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	21.6	2011	2019	170 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	7.5	2003	2013	1234 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	135.0	2013	2013	94000 км.	5.7 л	Шаргал	Жийп	Зөв	Бензин
Toyota Crown	20.0	2011	2019	180000 км.	3.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Camry	25.0	2013	2020	99000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	14.5	2012	2021	16787604 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	23.0	2012	2019	229599 км.	2.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	45.0	2009	2024	199000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Mitsubishi RVR	25.0	2016	2020	67000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Honda CR-V	1.05	2003	2012	240000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 30	14.5	2011	2020	200 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Audi A8	55.0	2014	2023	127000 км.	3.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus RX	49.0	2010	2024	130000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Crown	35.5	2013	2022	180 км.	2.4 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	16.3	2013	2022	136000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	30.8	2013	2024	120000 км.	1.8 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Toyota Mark	4.7	2004	2012	180000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	62.0	2015	2024	95000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 20	10.0	2005	2015	180000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser 200	148.0	2017	2018	130000 км.	4.5 л	Шаргал	Жийп	Зөв	Дизель
Toyota Harrier	58.0	2014	2023	108000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Nissan Wingroad	14.0	2016	2022	110000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	31.8	2012	2024	170000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Wish	11.7	2008	2018	240000 км.	1.8 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Harrier	60.0	2014	2023	130000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	44.0	2013	2024	180000 км.	2.4 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	11.0	2007	2018	100000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	15.0	2008	2019	210000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	66.0	2012	2023	105000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	16.5	2010	2020	1760000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota RAV4	13.5	2006	2014	238000 км.	2.4 л	Бусад	Жийп	Буруу	Бензин
Toyota Crown	46.0	2013	2023	167000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	11.0	2006	2015	200000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	30.0	2014	2024	184000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	27.0	2012	2023	116000 км.	1.8 л	Саарал	Суудлын тэрэг	Зөв	Хайбрид
Toyota Prius 30	16.0	2010	2018	100000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 100	26.0	1999	2007	200 км.	4.7 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Crown	45.0	2014	2024	190000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vanguard	26.0	2010	2020	136000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	22.2	2008	2024	26000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	28.8	2013	2024	114000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	24.0	2011	2021	220000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	33.8	2014	2024	161000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
MINI Countryman	22.9	2022	2012	120000 км.	1.6 л	Хар	Жийп	Буруу	Бензин
Toyota FJ Cruiser	80.0	2013	2021	200000 км.	4.0 л	Бусад	Жийп	Буруу	Бензин
Nissan Note	8.5	2013	2018	1 км.	1.2 л	Бусад	Суудлын тэрэг	Зөв	Хайбрид
Toyota Prius 30	22.8	2012	2023	136000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	58.0	2011	2023	115000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Aqua	15.0	2016	2021	162160 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Caravan	36.0	2016	2024	160000 км.	2.5 л	Хар	Гэр бүлийн	Буруу	Дизель
Toyota Prius 40	28.8	2012	2024	140000 км.	1.6 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	185.0	2023	2023	260 км.	3.5 л	Цагаан шар	Гэр бүлийн	Зөв	Бензин
Toyota 4Runner	115.0	2015	2022	11111 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Subaru Forester	32.8	2014	2024	84000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Harrier	24.0	2007	2017	160000 км.	2.4 л	Саарал	Жийп	Буруу	Бензин
Lexus HS	21.0	2010	2019	205000 км.	2.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Fielder	15.0	2015	2020	200000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	24.8	2012	2024	190000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Kia Optima/K5	21.0	2017	2024	117777 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Land Cruiser 300	218.0	2023	2024	0 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 40	38.8	2016	2023	100000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	18.0	2010	2021	160000 км.	1.7 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	23.5	2014	2021	230000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Estima	17.5	2008	2018	180000 км.	2.3 л	Шаргал	Гэр бүлийн	Буруу	Бензин
Toyota Vanguard	42.0	2012	2024	65000 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Lexus RX	45.0	2011	2018	110000 км.	3.5 л	Хар	Жийп	Зөв	Хайбрид
Subaru Impreza	9.0	2010	2019	17001 км.	6.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser 200	175.0	2018	2019	94000 км.	4.7 л	Цагаан шар	Жийп	Зөв	Бензин
Lexus RX	69.0	2012	2023	127000 км.	3.5 л	Хар	Жийп	Зөв	Хайбрид
BMW 3-сери	42.5	2016	2024	75000 км.	2.0 л	Бор	Суудлын тэрэг	Буруу	Дизель
Ford Escape	33.0	2012	2023	81000 км.	2.3 л	Бусад	Жийп	Буруу	Бензин
Toyota Prius 40	39.6	2018	2024	126000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Lexus RX	125.0	2018	2024	150000 км.	3.5 л	Саарал	Жийп	Буруу	Хайбрид
Toyota Prius 30	24.5	2014	2024	133000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Ractis	20.0	2014	2023	34000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	30.5	2011	2024	170 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Mitsubishi RVR	18.0	2010	2019	20000 км.	1.8 л	Хар	Жийп	Буруу	Бензин
Toyota Camry	58.0	2021	2024	140 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	11.5	2003	2016	190000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	17.9	2015	2024	150000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	17.5	2015	2024	82000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	25.8	2006	2014	180 км.	3.3 л	Шаргал	Жийп	Буруу	Хайбрид
Toyota Land Cruiser 100	32.0	1999	2008	180000 км.	4.7 л	Бусад	Жийп	Буруу	Бензин
Toyota Prius 30	25.8	2011	2024	160000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	15.8	2011	2021	184038 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Premio	18.0	2009	2019	180000 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser 200	142.0	2015	2015	140000 км.	4.6 л	Бор	Жийп	Зөв	Дизель
Lexus HS	31.0	2010	2024	165 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	52.0	2004	2010	200000 км.	4.7 л	Шаргал	Жийп	Зөв	Бензин
Lexus LX	50.5	2006	2010	150000 км.	4.7 л	Саарал	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	90.0	2009	2010	380000 км.	4.4 л	Хар	Жийп	Зөв	Дизель
Toyota Camry	30.0	2012	2023	185000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota bB	9.2	2012	2018	1 км.	1.5 л	Хар	Суудлын тэрэг	Зөв	Бензин
Geely Azkarra	78.0	2022	2022	9130 км.	1.5 л	Хар	Жийп	Зөв	Бензин
Toyota Sai	26.5	2011	2024	122281 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Passo	9.0	2009	2018	170000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	16.8	2008	2022	210 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	31.3	2012	2023	135000 км.	1.8 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Lexus RX	70.0	2014	2022	0 км.	3.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	16.0	2008	2018	184 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	34.0	2016	2023	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	35.0	2007	2022	131600 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Hyundai Sonata	13.0	2013	2022	400 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Prius 20	8.2	2005	2013	1 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Volkswagen Passat	15.5	2011	2011	236000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Prius 20	14.5	2005	2021	180000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	14.0	2013	2021	150000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	24.5	2012	2021	193000 км.	3.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 100	55.0	2005	2015	180000 км.	4.7 л	Цагаан шар	Жийп	Буруу	Бензин
Subaru Forester	18.0	2009	2018	256000 км.	2.0 л	Хар	Гэр бүлийн	Буруу	Бензин
