,mark,price,produced_year,imported_year,type,hurd,hodolguur,distance_num,motor_vol
661,Toyota Vellfire,41.0,2012,2022,Гэр бүлийн,False,Хайбрид,200000.0,2.0
662,Lexus RX,125.0,2018,2024,Жийп,False,Хайбрид,37422.0,3.0
663,Mercedes-Benz G-Class,160.0,2013,2013,Жийп,True,Бензин,100000.0,5.0
664,Toyota Harrier,29.0,2009,2019,Жийп,False,Бензин,178000.0,2.0
665,Toyota Prius 30,15.0,2009,2017,Суудлын тэрэг,False,Бензин,210000.0,1.0
666,Toyota Prius 30,25.5,2012,2023,Суудлын тэрэг,False,Хайбрид,121000.0,1.0
667,Toyota Prius 20,16.5,2004,2020,Суудлын тэрэг,False,Бензин,212000.0,1.0
668,Mitsubishi Delica,38.5,2018,2024,Гэр бүлийн,False,Бензин,162000.0,2.0
669,Toyota Prius 30,18.5,2011,2019,Суудлын тэрэг,False,Хайбрид,220000.0,1.0
670,Toyota Prius 20,10.5,2006,2016,Суудлын тэрэг,False,Бензин,150000.0,1.0
671,Toyota Harrier,42.8,2008,2024,Жийп,False,Бензин,181000.0,3.0
672,Toyota Prius 30,19.0,2010,2020,Суудлын тэрэг,False,Хайбрид,200000.0,1.0
673,Toyota Crown,25.0,2008,2022,Суудлын тэрэг,False,Хайбрид,111111.0,3.0
674,BMW 3-сери,12.0,1999,2008,Суудлын тэрэг,True,Бензин,1111111.0,2.0
675,Toyota Prius 30,27.8,2014,2024,Суудлын тэрэг,False,Хайбрид,83174.0,1.0
676,Lexus HS,28.0,2022,2010,Суудлын тэрэг,False,Бензин,210000.0,2.0
677,Toyota Prius 20,10.5,2005,2016,Суудлын тэрэг,False,Бензин,200000.0,1.0
678,Toyota Land Cruiser Prado,118.0,2014,2022,Жийп,False,Бензин,42000.0,4.0
679,Toyota Allion,17.5,2009,2019,Суудлын тэрэг,False,Бензин,140000.0,1.0
680,Jeep Wrangler,138.0,2019,2023,Жийп,True,Бензин,63000.0,2.0
681,Toyota Crown,43.0,2014,2024,Суудлын тэрэг,False,Хайбрид,154000.0,2.0
682,Toyota Alphard,14.0,2006,2015,Гэр бүлийн,False,Бензин,194000.0,2.0
683,Toyota Fielder,19.0,2015,2021,Суудлын тэрэг,False,Бензин,156000.0,1.0
684,Toyota Prius 30,24.0,2013,2023,Суудлын тэрэг,False,Хайбрид,226000.0,1.0
685,Toyota Prius 40,31.0,2012,2024,Суудлын тэрэг,False,Хайбрид,1111111.0,1.0
686,Toyota Hilux,45.0,2005,2021,Жийп,False,Бензин,200000.0,2.0
687,Toyota Crown,58.0,2016,2024,Суудлын тэрэг,False,Хайбрид,120000.0,2.0
688,Toyota Prius 20,11.5,2009,2017,Суудлын тэрэг,False,Бензин,22223.0,1.0
689,Toyota Harrier,35.0,2006,2022,Жийп,False,Хайбрид,175000.0,3.0
690,Toyota Harrier,60.9,2015,2024,Жийп,False,Бензин,106713.0,2.0
691,Toyota Fielder,21.0,2013,2022,Суудлын тэрэг,False,Хайбрид,210000.0,1.0
692,Toyota Vanguard,20.2,2008,2017,Жийп,False,Бензин,190000.0,2.0
693,Toyota Prius 40,32.5,2012,2024,Суудлын тэрэг,False,Хайбрид,126000.0,1.0
694,Toyota Land Cruiser 105,35.0,1999,2007,Жийп,False,Бензин,88952007.0,4.0
695,Toyota Prius 30,15.3,2011,2015,Суудлын тэрэг,False,Хайбрид,200000.0,1.0
696,Toyota Land Cruiser Prado,75.0,2011,2020,Жийп,False,Бензин,80000.0,2.0
697,Toyota Prius 20,22.3,2006,2024,Суудлын тэрэг,False,Хайбрид,123300.0,1.0
698,Lexus HS,23.0,2010,2019,Суудлын тэрэг,False,Хайбрид,190000.0,2.0
699,Toyota Land Cruiser Prado,43.0,2006,2015,Жийп,False,Бензин,210000.0,2.0
700,Toyota Prius 30,18.0,2012,2019,Суудлын тэрэг,False,Бензин,1900000.0,1.0
701,Subaru Forester,50.0,2020,2022,Суудлын тэрэг,False,Бензин,24000.0,2.0
702,Kia Optima/K5,75.0,2021,2024,Суудлын тэрэг,True,Газ,32000.0,3.0
703,Toyota Land Cruiser Prado,68.0,2005,2022,Жийп,False,Бензин,165309.0,3.0
704,Nissan X-Trail,17.0,2009,2018,Жийп,False,Бензин,200000.0,2.0
705,Mitsubishi Outlander,30.0,2013,2020,Жийп,False,Хайбрид,102500.0,2.0
706,Toyota Sai,38.0,2015,2024,Суудлын тэрэг,False,Хайбрид,160000.0,2.0
707,Toyota Kluger,110.0,2021,2023,Жийп,False,Бензин,42400.0,3.0
708,Toyota Prius 50,33.3,2017,2024,Суудлын тэрэг,False,Хайбрид,121000.0,1.0
709,Toyota Prius 30,16.0,2010,2019,Суудлын тэрэг,False,Хайбрид,920000.0,1.0
710,Volkswagen Tiguan,18.0,2009,2019,Суудлын тэрэг,False,Бензин,100000.0,2.0
711,Toyota Sai,31.0,2015,2023,Суудлын тэрэг,False,Хайбрид,120000.0,2.0
712,BMW 3-сери,34.9,2014,2024,Суудлын тэрэг,False,Бензин,60000.0,1.0
713,Subaru Forester,58.0,2019,2024,Гэр бүлийн,False,Бензин,28000.0,2.0
714,Lexus HS,29.5,2010,2022,Суудлын тэрэг,False,Хайбрид,94000.0,2.0
715,Toyota Prius 30,16.5,2010,2019,Суудлын тэрэг,False,Хайбрид,170000.0,1.0
716,Toyota Prius 30,26.5,2012,2024,Суудлын тэрэг,False,Хайбрид,190000.0,1.0
717,Toyota Harrier,38.0,2008,2020,Жийп,False,Хайбрид,190000.0,3.0
718,Toyota Prius 30,14.3,2009,2018,Суудлын тэрэг,False,Хайбрид,120000.0,1.0
719,Toyota Land Cruiser Prado,98.0,2018,2020,Жийп,False,Бензин,48000.0,2.0
720,Toyota Vellfire,46.9,2010,2024,Гэр бүлийн,False,Бензин,160000.0,3.0
721,Toyota Land Cruiser 100,48.0,2003,2012,Жийп,False,Бензин,210000.0,4.0
722,Toyota Sai,22.8,2011,2021,Суудлын тэрэг,False,Хайбрид,130000.0,2.0
723,Toyota Prius 20,9.8,2004,2016,Суудлын тэрэг,False,Бензин,1000.0,2.0
724,Volkswagen Passat,45.0,2013,2023,Суудлын тэрэг,True,Бензин,100000.0,2.0
725,Toyota Prius 30,23.0,2011,2024,Суудлын тэрэг,False,Бензин,184000.0,1.0
726,Lexus RX,69.0,2013,2022,Жийп,True,Бензин,76000.0,3.0
727,Toyota Prius 30,21.0,2013,2022,Суудлын тэрэг,False,Бензин,200000.0,1.0
728,Toyota Prius 30,15.0,2011,2018,Суудлын тэрэг,False,Хайбрид,190000.0,2.0
729,Toyota Prius 30,15.5,2010,2018,Суудлын тэрэг,False,Хайбрид,180000.0,1.0
730,Hyundai Santa-Fe,19.0,2010,2010,Жийп,True,Бензин,83000.0,2.0
731,Mitsubishi Mirage,22.0,2014,2023,Суудлын тэрэг,False,Бензин,100000.0,1.0
732,Land Rover Defender,480.0,2022,2023,Жийп,True,Бензин,8000.0,5.0
733,Lexus RX,120.0,2017,2022,Жийп,True,Бензин,110000.0,3.0
734,Toyota Axio,19.5,2014,2022,Суудлын тэрэг,False,Хайбрид,140000.0,1.0
735,Toyota Fielder,27.0,2018,2024,Суудлын тэрэг,False,Бензин,100000.0,1.0
736,Toyota Vanguard,23.5,2009,2018,Суудлын тэрэг,False,Бензин,100000.0,2.0
737,Toyota Prius 40,19.0,2012,2018,Суудлын тэрэг,False,Хайбрид,250000.0,1.0
738,Toyota Sai,19.5,2010,2021,Суудлын тэрэг,False,Хайбрид,230000.0,2.0
739,Toyota Crown,55.0,2015,2024,Суудлын тэрэг,False,Хайбрид,95500.0,2.0
740,Toyota Aqua,19.3,2014,2024,Суудлын тэрэг,False,Хайбрид,110000.0,1.0
741,Toyota Highlander,24.5,2006,2011,Жийп,True,Хайбрид,228000.0,3.0
742,Toyota Estima,26.8,2007,2024,Гэр бүлийн,False,Хайбрид,200000.0,2.0
743,Toyota Prius 40,34.0,2014,2023,Суудлын тэрэг,False,Хайбрид,118000.0,1.0
744,Toyota Crown,47.0,2013,2024,Суудлын тэрэг,False,Хайбрид,120000.0,2.0
745,Toyota Harrier,58.0,2014,2024,Жийп,False,Хайбрид,180000.0,2.0
746,Nissan Navara,80.0,2018,2024,Жийп,False,Дизель,98300.0,2.0
747,Toyota Prius 40,32.0,2011,2024,Суудлын тэрэг,False,Хайбрид,115000.0,1.0
748,Toyota Prius 20,12.0,2008,2017,Суудлын тэрэг,False,Хайбрид,236000.0,1.0
749,Toyota Fielder,23.8,2014,2024,Суудлын тэрэг,False,Хайбрид,157000.0,1.0
750,Toyota Land Cruiser Prado,69.0,2007,2022,Жийп,False,Бензин,140000.0,4.0
751,Lexus GS,75.0,2015,2024,Суудлын тэрэг,False,Хайбрид,143000.0,2.0
752,Toyota Prius 40,29.0,2012,2023,Гэр бүлийн,False,Хайбрид,164221.0,1.0
753,Lexus RX,37.0,2007,2021,Жийп,True,Хайбрид,168000.0,3.0
754,Toyota Vanguard,25.0,2011,2015,Жийп,False,Бензин,75000.0,2.0
755,Toyota Sai,27.8,2011,2023,Суудлын тэрэг,False,Хайбрид,225000.0,2.0
756,Toyota Land Cruiser Prado,120.0,2019,2024,Жийп,False,Бензин,53000.0,2.0
757,Toyota Prius 20,13.8,2008,2019,Суудлын тэрэг,False,Хайбрид,220000.0,1.0
758,Toyota Vellfire,43.0,2009,2023,Гэр бүлийн,False,Бензин,140000.0,2.0
759,Mercedes-Benz G-Class,450.0,2018,2019,Жийп,True,Бензин,25000.0,4.0
760,Toyota Alphard,25.0,2010,2015,Гэр бүлийн,False,Бензин,220000.0,2.0
761,Toyota Prius 30,16.5,2010,2019,Суудлын тэрэг,False,Хайбрид,220000.0,1.0
762,Toyota Vellfire,88.0,2015,2024,Гэр бүлийн,False,Хайбрид,145000.0,2.0
763,Toyota Land Cruiser 77,22.0,1996,2008,Жийп,False,Дизель,100000.0,3.0
764,Toyota Voxy,24.5,2012,2022,Гэр бүлийн,False,Бензин,100000.0,2.0
765,Toyota Rumion,23.0,2013,2023,Суудлын тэрэг,False,Бензин,180000.0,1.0
766,Toyota Prius 30,17.0,2011,2020,Суудлын тэрэг,False,Бензин,10000.0,1.0
767,Toyota Land Cruiser Prado,72.0,2012,2020,Жийп,False,Бензин,148000.0,2.0
768,Toyota Prius 30,25.5,2012,2023,Суудлын тэрэг,False,Бензин,123000.0,1.0
769,Toyota Prius 30,28.9,2011,2024,Суудлын тэрэг,True,Хайбрид,95000.0,1.0
770,Toyota Prius 20,19.3,2007,2022,Суудлын тэрэг,False,Хайбрид,154000.0,1.0
